"order_number";"product_key";"customer_key";"order_date";"shipping_date";"due_date";"sales_amount";"quantity";"price"
"SO43729";7;239;"2011-01-06";"2011-01-13";"2011-01-18";3400;1;3400
"SO43730";7;14862;"2011-01-06";"2011-01-13";"2011-01-18";3400;1;3400
"SO43731";17;5630;"2011-01-06";"2011-01-13";"2011-01-18";3578;1;3578
"SO43732";3;26;"2011-01-06";"2011-01-13";"2011-01-18";3375;1;3375
"SO43733";15;16578;"2011-01-06";"2011-01-13";"2011-01-18";3578;1;3578
"SO43734";15;16605;"2011-01-07";"2011-01-14";"2011-01-19";3578;1;3578
"SO43735";18;5523;"2011-01-07";"2011-01-14";"2011-01-19";3578;1;3578
"SO43736";7;3;"2011-01-07";"2011-01-14";"2011-01-19";3400;1;3400
"SO43737";14;2262;"2011-01-08";"2011-01-15";"2011-01-20";3578;1;3578
"SO43738";15;607;"2011-01-08";"2011-01-15";"2011-01-20";3578;1;3578
"SO43739";18;2564;"2011-01-08";"2011-01-15";"2011-01-20";3578;1;3578
"SO43740";15;5528;"2011-01-08";"2011-01-15";"2011-01-20";3578;1;3578
"SO43741";18;16672;"2011-01-09";"2011-01-16";"2011-01-21";3578;1;3578
"SO43742";17;2577;"2011-01-09";"2011-01-16";"2011-01-21";3578;1;3578
"SO43743";8;8;"2011-01-09";"2011-01-16";"2011-01-21";3400;1;3400
"SO43744";16;5632;"2011-01-09";"2011-01-16";"2011-01-21";3578;1;3578
"SO43745";14;5515;"2011-01-10";"2011-01-17";"2011-01-22";3578;1;3578
"SO43746";15;5617;"2011-01-10";"2011-01-17";"2011-01-22";3578;1;3578
"SO43747";17;16624;"2011-01-11";"2011-01-18";"2011-01-23";3578;1;3578
"SO43748";16;16626;"2011-01-11";"2011-01-18";"2011-01-23";3578;1;3578
"SO43749";17;16637;"2011-01-11";"2011-01-18";"2011-01-23";3578;1;3578
"SO43750";14;592;"2011-01-11";"2011-01-18";"2011-01-23";3578;1;3578
"SO43751";16;593;"2011-01-11";"2011-01-18";"2011-01-23";3578;1;3578
"SO43752";14;2266;"2011-01-11";"2011-01-18";"2011-01-23";3578;1;3578
"SO43753";18;5483;"2011-01-11";"2011-01-18";"2011-01-23";3578;1;3578
"SO43754";15;16618;"2011-01-12";"2011-01-19";"2011-01-24";3578;1;3578
"SO43755";14;16671;"2011-01-12";"2011-01-19";"2011-01-24";3578;1;3578
"SO43756";43;8942;"2011-01-12";"2011-01-19";"2011-01-24";699;1;699
"SO43757";3;18;"2011-01-12";"2011-01-19";"2011-01-24";3375;1;3375
"SO43758";18;16647;"2011-01-13";"2011-01-20";"2011-01-25";3578;1;3578
"SO43759";18;2258;"2011-01-13";"2011-01-20";"2011-01-25";3578;1;3578
"SO43760";17;5353;"2011-01-13";"2011-01-20";"2011-01-25";3578;1;3578
"SO43761";18;5494;"2011-01-13";"2011-01-20";"2011-01-25";3578;1;3578
"SO43762";17;16579;"2011-01-14";"2011-01-21";"2011-01-26";3578;1;3578
"SO43763";16;5526;"2011-01-14";"2011-01-21";"2011-01-26";3578;1;3578
"SO43764";18;5613;"2011-01-14";"2011-01-21";"2011-01-26";3578;1;3578
"SO43765";7;11;"2011-01-14";"2011-01-21";"2011-01-26";3400;1;3400
"SO43766";16;5519;"2011-01-15";"2011-01-22";"2011-01-27";3578;1;3578
"SO43767";3;2;"2011-01-15";"2011-01-22";"2011-01-27";3375;1;3375
"SO43768";15;16650;"2011-01-16";"2011-01-23";"2011-01-28";3578;1;3578
"SO43769";15;10660;"2011-01-16";"2011-01-23";"2011-01-28";3578;1;3578
"SO43770";15;16615;"2011-01-16";"2011-01-23";"2011-01-28";3578;1;3578
"SO43771";48;3560;"2011-01-16";"2011-01-23";"2011-01-28";699;1;699
"SO43772";15;5525;"2011-01-16";"2011-01-23";"2011-01-28";3578;1;3578
"SO43773";17;5527;"2011-01-16";"2011-01-23";"2011-01-28";3578;1;3578
"SO43774";16;5349;"2011-01-16";"2011-01-23";"2011-01-28";3578;1;3578
"SO43775";8;28;"2011-01-16";"2011-01-23";"2011-01-28";3400;1;3400
"SO43776";17;2261;"2011-01-17";"2011-01-24";"2011-01-29";3578;1;3578
"SO43777";14;5516;"2011-01-17";"2011-01-24";"2011-01-29";3578;1;3578
"SO43778";6;19;"2011-01-17";"2011-01-24";"2011-01-29";3400;1;3400
"SO43779";46;14253;"2011-01-17";"2011-01-24";"2011-01-29";699;1;699
"SO43780";14;600;"2011-01-18";"2011-01-25";"2011-01-30";3578;1;3578
"SO43781";15;5496;"2011-01-18";"2011-01-25";"2011-01-30";3578;1;3578
"SO43782";15;5517;"2011-01-18";"2011-01-25";"2011-01-30";3578;1;3578
"SO43783";15;5621;"2011-01-18";"2011-01-25";"2011-01-30";3578;1;3578
"SO43784";18;16668;"2011-01-19";"2011-01-26";"2011-01-31";3578;1;3578
"SO43785";14;602;"2011-01-19";"2011-01-26";"2011-01-31";3578;1;3578
"SO43786";14;608;"2011-01-19";"2011-01-26";"2011-01-31";3578;1;3578
"SO43787";5;18386;"2011-01-19";"2011-01-26";"2011-01-31";3400;1;3400
"SO43788";4;240;"2011-01-19";"2011-01-26";"2011-01-31";3375;1;3375
"SO43789";4;14866;"2011-01-19";"2011-01-26";"2011-01-31";3375;1;3375
"SO43790";5;14858;"2011-01-19";"2011-01-26";"2011-01-31";3400;1;3400
"SO43791";17;5485;"2011-01-19";"2011-01-26";"2011-01-31";3578;1;3578
"SO43792";15;5624;"2011-01-19";"2011-01-26";"2011-01-31";3578;1;3578
"SO43793";5;1;"2011-01-19";"2011-01-26";"2011-01-31";3400;1;3400
"SO43794";8;30;"2011-01-19";"2011-01-26";"2011-01-31";3400;1;3400
"SO43795";15;16616;"2011-01-20";"2011-01-27";"2011-02-01";3578;1;3578
"SO43796";42;6957;"2011-01-20";"2011-01-27";"2011-02-01";699;1;699
"SO43797";15;5346;"2011-01-20";"2011-01-27";"2011-02-01";3578;1;3578
"SO43798";18;5522;"2011-01-20";"2011-01-27";"2011-02-01";3578;1;3578
"SO43799";15;5637;"2011-01-20";"2011-01-27";"2011-02-01";3578;1;3578
"SO43800";14;10711;"2011-01-21";"2011-01-28";"2011-02-02";3578;1;3578
"SO43801";14;2584;"2011-01-21";"2011-01-28";"2011-02-02";3578;1;3578
"SO43802";15;594;"2011-01-21";"2011-01-28";"2011-02-02";3578;1;3578
"SO43803";17;10742;"2011-01-22";"2011-01-29";"2011-02-03";3578;1;3578
"SO43804";18;2586;"2011-01-22";"2011-01-29";"2011-02-03";3578;1;3578
"SO43805";47;3511;"2011-01-22";"2011-01-29";"2011-02-03";699;1;699
"SO43806";15;5524;"2011-01-22";"2011-01-29";"2011-02-03";3578;1;3578
"SO43807";15;612;"2011-01-23";"2011-01-30";"2011-02-04";3578;1;3578
"SO43808";16;2260;"2011-01-23";"2011-01-30";"2011-02-04";3578;1;3578
"SO43809";18;5351;"2011-01-23";"2011-01-30";"2011-02-04";3578;1;3578
"SO43810";6;5;"2011-01-23";"2011-01-30";"2011-02-04";3400;1;3400
"SO43811";7;27;"2011-01-23";"2011-01-30";"2011-02-04";3400;1;3400
"SO43812";15;16663;"2011-01-24";"2011-01-31";"2011-02-05";3578;1;3578
"SO43813";3;17391;"2011-01-24";"2011-01-31";"2011-02-05";3375;1;3375
"SO43814";3;14867;"2011-01-24";"2011-01-31";"2011-02-05";3375;1;3375
"SO43815";14;5495;"2011-01-24";"2011-01-31";"2011-02-05";3578;1;3578
"SO43816";17;5497;"2011-01-24";"2011-01-31";"2011-02-05";3578;1;3578
"SO43817";18;5520;"2011-01-24";"2011-01-31";"2011-02-05";3578;1;3578
"SO43818";15;5529;"2011-01-24";"2011-01-31";"2011-02-05";3578;1;3578
"SO43819";7;7;"2011-01-24";"2011-01-31";"2011-02-05";3400;1;3400
"SO43820";15;16652;"2011-01-25";"2011-02-01";"2011-02-06";3578;1;3578
"SO43821";18;16664;"2011-01-25";"2011-02-01";"2011-02-06";3578;1;3578
"SO43822";16;16670;"2011-01-25";"2011-02-01";"2011-02-06";3578;1;3578
"SO43823";42;8943;"2011-01-25";"2011-02-01";"2011-02-06";699;1;699
"SO43824";40;3559;"2011-01-25";"2011-02-01";"2011-02-06";699;1;699
"SO43825";16;5350;"2011-01-25";"2011-02-01";"2011-02-06";3578;1;3578
"SO43826";1;9;"2011-01-25";"2011-02-01";"2011-02-06";3375;1;3375
"SO43827";40;14251;"2011-01-25";"2011-02-01";"2011-02-06";699;1;699
"SO43828";18;16606;"2011-01-26";"2011-02-02";"2011-02-07";3578;1;3578
"SO43829";18;16612;"2011-01-26";"2011-02-02";"2011-02-07";3578;1;3578
"SO43830";14;5348;"2011-01-26";"2011-02-02";"2011-02-07";3578;1;3578
"SO43831";2;29;"2011-01-26";"2011-02-02";"2011-02-07";3375;1;3375
"SO43832";18;2585;"2011-01-26";"2011-02-02";"2011-02-07";3578;1;3578
"SO43833";18;10728;"2011-01-27";"2011-02-03";"2011-02-08";3578;1;3578
"SO43834";1;17394;"2011-01-27";"2011-02-03";"2011-02-08";3375;1;3375
"SO43835";1;8803;"2011-01-27";"2011-02-03";"2011-02-08";3375;1;3375
"SO43836";51;15621;"2011-01-27";"2011-02-03";"2011-02-08";699;1;699
"SO43837";3;10;"2011-01-27";"2011-02-03";"2011-02-08";3375;1;3375
"SO43838";16;16642;"2011-01-28";"2011-02-04";"2011-02-09";3578;1;3578
"SO43839";14;16674;"2011-01-28";"2011-02-04";"2011-02-09";3578;1;3578
"SO43840";46;6958;"2011-01-28";"2011-02-04";"2011-02-09";699;1;699
"SO43841";17;2407;"2011-01-28";"2011-02-04";"2011-02-09";3578;1;3578
"SO43842";15;5631;"2011-01-28";"2011-02-04";"2011-02-09";3578;1;3578
"SO43918";16;11042;"2011-01-29";"2011-02-05";"2011-02-10";3578;1;3578
"SO43919";17;1125;"2011-01-29";"2011-02-05";"2011-02-10";3578;1;3578
"SO43920";16;17067;"2011-01-29";"2011-02-05";"2011-02-10";3578;1;3578
"SO43921";16;5744;"2011-01-29";"2011-02-05";"2011-02-10";3578;1;3578
"SO43922";18;2547;"2011-01-29";"2011-02-05";"2011-02-10";3578;1;3578
"SO43923";15;17019;"2011-01-30";"2011-02-06";"2011-02-11";3578;1;3578
"SO43924";18;1133;"2011-01-30";"2011-02-06";"2011-02-11";3578;1;3578
"SO43925";17;5662;"2011-01-30";"2011-02-06";"2011-02-11";3578;1;3578
"SO43926";4;56;"2011-01-31";"2011-02-07";"2011-02-12";3375;1;3375
"SO43927";17;5663;"2011-01-31";"2011-02-07";"2011-02-12";3578;1;3578
"SO43928";16;5741;"2011-01-31";"2011-02-07";"2011-02-12";3578;1;3578
"SO43929";50;14271;"2011-01-31";"2011-02-07";"2011-02-12";699;1;699
"SO43930";15;17039;"2011-02-01";"2011-02-08";"2011-02-13";3578;1;3578
"SO43931";16;2549;"2011-02-01";"2011-02-08";"2011-02-13";3578;1;3578
"SO43932";17;5742;"2011-02-01";"2011-02-08";"2011-02-13";3578;1;3578
"SO43933";8;32;"2011-02-01";"2011-02-08";"2011-02-13";3400;1;3400
"SO43934";7;35;"2011-02-01";"2011-02-08";"2011-02-13";3400;1;3400
"SO43935";44;9049;"2011-02-02";"2011-02-09";"2011-02-14";699;1;699
"SO43936";14;17066;"2011-02-02";"2011-02-09";"2011-02-14";3578;1;3578
"SO43937";15;6048;"2011-02-02";"2011-02-09";"2011-02-14";3578;1;3578
"SO43938";18;5687;"2011-02-02";"2011-02-09";"2011-02-14";3578;1;3578
"SO43939";15;5660;"2011-02-02";"2011-02-09";"2011-02-14";3578;1;3578
"SO43940";45;14295;"2011-02-02";"2011-02-09";"2011-02-14";699;1;699
"SO43941";17;2601;"2011-02-03";"2011-02-10";"2011-02-15";3578;1;3578
"SO43942";18;6052;"2011-02-03";"2011-02-10";"2011-02-15";3578;1;3578
"SO43943";40;3566;"2011-02-03";"2011-02-10";"2011-02-15";699;1;699
"SO43944";5;55;"2011-02-03";"2011-02-10";"2011-02-15";3400;1;3400
"SO43945";18;5676;"2011-02-03";"2011-02-10";"2011-02-15";3578;1;3578
"SO43946";16;5688;"2011-02-03";"2011-02-10";"2011-02-15";3578;1;3578
"SO43947";18;5713;"2011-02-03";"2011-02-10";"2011-02-15";3578;1;3578
"SO43948";6;48;"2011-02-03";"2011-02-10";"2011-02-15";3400;1;3400
"SO43949";18;16727;"2011-02-04";"2011-02-11";"2011-02-16";3578;1;3578
"SO43950";14;17015;"2011-02-04";"2011-02-11";"2011-02-16";3578;1;3578
"SO43951";14;5697;"2011-02-04";"2011-02-11";"2011-02-16";3578;1;3578
"SO43952";15;5640;"2011-02-04";"2011-02-11";"2011-02-16";3578;1;3578
"SO43953";42;9050;"2011-02-05";"2011-02-12";"2011-02-17";699;1;699
"SO43954";14;2603;"2011-02-05";"2011-02-12";"2011-02-17";3578;1;3578
"SO43955";17;2662;"2011-02-05";"2011-02-12";"2011-02-17";3578;1;3578
"SO43956";5;31;"2011-02-05";"2011-02-12";"2011-02-17";3400;1;3400
"SO43957";16;17069;"2011-02-06";"2011-02-13";"2011-02-18";3578;1;3578
"SO43958";15;5659;"2011-02-06";"2011-02-13";"2011-02-18";3578;1;3578
"SO43959";1;36;"2011-02-06";"2011-02-13";"2011-02-18";3375;1;3375
"SO43960";2;47;"2011-02-06";"2011-02-13";"2011-02-18";3375;1;3375
"SO43961";14;17032;"2011-02-07";"2011-02-14";"2011-02-19";3578;1;3578
"SO43962";15;17077;"2011-02-07";"2011-02-14";"2011-02-19";3578;1;3578
"SO43963";17;5686;"2011-02-07";"2011-02-14";"2011-02-19";3578;1;3578
"SO43964";15;5746;"2011-02-07";"2011-02-14";"2011-02-19";3578;1;3578
"SO43965";4;39;"2011-02-07";"2011-02-14";"2011-02-19";3375;1;3375
"SO43966";8;40;"2011-02-07";"2011-02-14";"2011-02-19";3400;1;3400
"SO43967";16;17041;"2011-02-08";"2011-02-15";"2011-02-20";3578;1;3578
"SO43968";16;17068;"2011-02-08";"2011-02-15";"2011-02-20";3578;1;3578
"SO43969";18;17072;"2011-02-08";"2011-02-15";"2011-02-20";3578;1;3578
"SO43970";14;5685;"2011-02-08";"2011-02-15";"2011-02-20";3578;1;3578
"SO43971";17;5658;"2011-02-08";"2011-02-15";"2011-02-20";3578;1;3578
"SO43972";17;10940;"2011-02-09";"2011-02-16";"2011-02-21";3578;1;3578
"SO43973";15;17040;"2011-02-09";"2011-02-16";"2011-02-21";3578;1;3578
"SO43974";15;2688;"2011-02-09";"2011-02-16";"2011-02-21";3578;1;3578
"SO43975";15;2541;"2011-02-09";"2011-02-16";"2011-02-21";3578;1;3578
"SO43976";18;17064;"2011-02-09";"2011-02-16";"2011-02-21";3578;1;3578
"SO43977";15;5704;"2011-02-09";"2011-02-16";"2011-02-21";3578;1;3578
"SO43978";18;17031;"2011-02-10";"2011-02-17";"2011-02-22";3578;1;3578
"SO43979";50;3577;"2011-02-10";"2011-02-17";"2011-02-22";699;1;699
"SO43980";4;49;"2011-02-10";"2011-02-17";"2011-02-22";3375;1;3375
"SO43981";17;5665;"2011-02-10";"2011-02-17";"2011-02-22";3578;1;3578
"SO43982";42;14272;"2011-02-10";"2011-02-17";"2011-02-22";699;1;699
"SO43983";17;17018;"2011-02-11";"2011-02-18";"2011-02-23";3578;1;3578
"SO43984";14;2546;"2011-02-11";"2011-02-18";"2011-02-23";3578;1;3578
"SO43985";16;2516;"2011-02-11";"2011-02-18";"2011-02-23";3578;1;3578
"SO43986";18;17071;"2011-02-11";"2011-02-18";"2011-02-23";3578;1;3578
"SO43987";18;17043;"2011-02-12";"2011-02-19";"2011-02-24";3578;1;3578
"SO43988";5;245;"2011-02-12";"2011-02-19";"2011-02-24";3400;1;3400
"SO43989";15;17084;"2011-02-12";"2011-02-19";"2011-02-24";3578;1;3578
"SO43990";5;14873;"2011-02-12";"2011-02-19";"2011-02-24";3400;1;3400
"SO43991";18;5661;"2011-02-12";"2011-02-19";"2011-02-24";3578;1;3578
"SO43992";14;5639;"2011-02-12";"2011-02-19";"2011-02-24";3578;1;3578
"SO43993";17;5930;"2011-02-14";"2011-02-21";"2011-02-26";3578;1;3578
"SO43994";17;16682;"2011-02-15";"2011-02-22";"2011-02-27";3578;1;3578
"SO43995";15;10814;"2011-02-15";"2011-02-22";"2011-02-27";3578;1;3578
"SO43996";18;16921;"2011-02-15";"2011-02-22";"2011-02-27";3578;1;3578
"SO43997";18;17023;"2011-02-15";"2011-02-22";"2011-02-27";3578;1;3578
"SO43998";1;34;"2011-02-15";"2011-02-22";"2011-02-27";3375;1;3375
"SO43999";14;17048;"2011-02-15";"2011-02-22";"2011-02-27";3578;1;3578
"SO44000";14;16919;"2011-02-16";"2011-02-23";"2011-02-28";3578;1;3578
"SO44001";16;17045;"2011-02-16";"2011-02-23";"2011-02-28";3578;1;3578
"SO44002";45;3573;"2011-02-16";"2011-02-23";"2011-02-28";699;1;699
"SO44003";42;8326;"2011-02-16";"2011-02-23";"2011-02-28";699;1;699
"SO44004";18;17062;"2011-02-16";"2011-02-23";"2011-02-28";3578;1;3578
"SO44005";44;15630;"2011-02-16";"2011-02-23";"2011-02-28";699;1;699
"SO44006";18;5745;"2011-02-16";"2011-02-23";"2011-02-28";3578;1;3578
"SO44007";49;14556;"2011-02-16";"2011-02-23";"2011-02-28";699;1;699
"SO44008";15;16679;"2011-02-17";"2011-02-24";"2011-03-01";3578;1;3578
"SO44009";17;16760;"2011-02-17";"2011-02-24";"2011-03-01";3578;1;3578
"SO44010";18;2681;"2011-02-17";"2011-02-24";"2011-03-01";3578;1;3578
"SO44011";18;2515;"2011-02-17";"2011-02-24";"2011-03-01";3578;1;3578
"SO44012";2;53;"2011-02-17";"2011-02-24";"2011-03-01";3375;1;3375
"SO44013";15;5929;"2011-02-17";"2011-02-24";"2011-03-01";3578;1;3578
"SO44014";16;16918;"2011-02-18";"2011-02-25";"2011-03-02";3578;1;3578
"SO44015";14;2694;"2011-02-18";"2011-02-25";"2011-03-02";3578;1;3578
"SO44016";3;248;"2011-02-18";"2011-02-25";"2011-03-02";3375;1;3375
"SO44017";18;17079;"2011-02-18";"2011-02-25";"2011-03-02";3578;1;3578
"SO44018";3;14877;"2011-02-18";"2011-02-25";"2011-03-02";3375;1;3375
"SO44019";18;5702;"2011-02-18";"2011-02-25";"2011-03-02";3578;1;3578
"SO44020";14;5932;"2011-02-18";"2011-02-25";"2011-03-02";3578;1;3578
"SO44021";1;33;"2011-02-18";"2011-02-25";"2011-03-02";3375;1;3375
"SO44022";16;11009;"2011-02-19";"2011-02-26";"2011-03-03";3578;1;3578
"SO44023";2;8831;"2011-02-19";"2011-02-26";"2011-03-03";3375;1;3375
"SO44024";17;5664;"2011-02-19";"2011-02-26";"2011-03-03";3578;1;3578
"SO44025";17;5709;"2011-02-19";"2011-02-26";"2011-03-03";3578;1;3578
"SO44026";18;6046;"2011-02-19";"2011-02-26";"2011-03-03";3578;1;3578
"SO44027";18;10922;"2011-02-20";"2011-02-27";"2011-03-04";3578;1;3578
"SO44028";15;6049;"2011-02-20";"2011-02-27";"2011-03-04";3578;1;3578
"SO44029";3;51;"2011-02-20";"2011-02-27";"2011-03-04";3375;1;3375
"SO44030";14;1132;"2011-02-21";"2011-02-28";"2011-03-05";3578;1;3578
"SO44031";16;2690;"2011-02-21";"2011-02-28";"2011-03-05";3578;1;3578
"SO44032";5;244;"2011-02-21";"2011-02-28";"2011-03-05";3400;1;3400
"SO44033";17;5694;"2011-02-21";"2011-02-28";"2011-03-05";3578;1;3578
"SO44034";16;5703;"2011-02-21";"2011-02-28";"2011-03-05";3578;1;3578
"SO44035";15;5708;"2011-02-21";"2011-02-28";"2011-03-05";3578;1;3578
"SO44036";18;6047;"2011-02-21";"2011-02-28";"2011-03-05";3578;1;3578
"SO44037";47;14273;"2011-02-21";"2011-02-28";"2011-03-05";699;1;699
"SO44038";5;14869;"2011-02-21";"2011-02-28";"2011-03-05";3400;1;3400
"SO44039";42;6972;"2011-02-22";"2011-03-01";"2011-03-06";699;1;699
"SO44040";4;58;"2011-02-22";"2011-03-01";"2011-03-06";3375;1;3375
"SO44041";16;5743;"2011-02-22";"2011-03-01";"2011-03-06";3578;1;3578
"SO44042";16;2679;"2011-02-23";"2011-03-02";"2011-03-07";3578;1;3578
"SO44043";14;2680;"2011-02-23";"2011-03-02";"2011-03-07";3578;1;3578
"SO44044";17;2691;"2011-02-23";"2011-03-02";"2011-03-07";3578;1;3578
"SO44045";5;17395;"2011-02-23";"2011-03-02";"2011-03-07";3400;1;3400
"SO44046";16;17065;"2011-02-23";"2011-03-02";"2011-03-07";3578;1;3578
"SO44047";5;14879;"2011-02-23";"2011-03-02";"2011-03-07";3400;1;3400
"SO44048";17;5714;"2011-02-23";"2011-03-02";"2011-03-07";3578;1;3578
"SO44049";17;2539;"2011-02-24";"2011-03-03";"2011-03-08";3578;1;3578
"SO44050";18;6051;"2011-02-24";"2011-03-03";"2011-03-08";3578;1;3578
"SO44051";18;2692;"2011-02-25";"2011-03-04";"2011-03-09";3578;1;3578
"SO44052";17;5638;"2011-02-25";"2011-03-04";"2011-03-09";3578;1;3578
"SO44053";40;8330;"2011-02-26";"2011-03-05";"2011-03-10";699;1;699
"SO44054";17;2543;"2011-02-26";"2011-03-05";"2011-03-10";3578;1;3578
"SO44055";18;2544;"2011-02-26";"2011-03-05";"2011-03-10";3578;1;3578
"SO44056";17;2560;"2011-02-26";"2011-03-05";"2011-03-10";3578;1;3578
"SO44057";40;3578;"2011-02-26";"2011-03-05";"2011-03-10";699;1;699
"SO44058";3;57;"2011-02-26";"2011-03-05";"2011-03-10";3375;1;3375
"SO44059";16;5689;"2011-02-26";"2011-03-05";"2011-03-10";3578;1;3578
"SO44060";42;14274;"2011-02-26";"2011-03-05";"2011-03-10";699;1;699
"SO44061";18;16920;"2011-02-27";"2011-03-06";"2011-03-11";3578;1;3578
"SO44062";18;17042;"2011-02-27";"2011-03-06";"2011-03-11";3578;1;3578
"SO44063";5;241;"2011-02-27";"2011-03-06";"2011-03-11";3400;1;3400
"SO44064";18;11051;"2011-02-27";"2011-03-06";"2011-03-11";3578;1;3578
"SO44065";18;17063;"2011-02-27";"2011-03-06";"2011-03-11";3578;1;3578
"SO44066";5;14868;"2011-02-27";"2011-03-06";"2011-03-11";3400;1;3400
"SO44067";18;6050;"2011-02-27";"2011-03-06";"2011-03-11";3578;1;3578
"SO44068";16;2542;"2011-02-28";"2011-03-07";"2011-03-12";3578;1;3578
"SO44069";2;17396;"2011-02-28";"2011-03-07";"2011-03-12";3375;1;3375
"SO44070";2;8830;"2011-02-28";"2011-03-07";"2011-03-12";3375;1;3375
"SO44071";16;5692;"2011-02-28";"2011-03-07";"2011-03-12";3578;1;3578
"SO44072";14;5657;"2011-02-28";"2011-03-07";"2011-03-12";3578;1;3578
"SO44073";4;45;"2011-02-28";"2011-03-07";"2011-03-12";3375;1;3375
"SO44134";18;2822;"2011-03-01";"2011-03-08";"2011-03-13";3578;1;3578
"SO44135";18;17157;"2011-03-01";"2011-03-08";"2011-03-13";3578;1;3578
"SO44136";14;11115;"2011-03-01";"2011-03-08";"2011-03-13";3578;1;3578
"SO44137";17;6329;"2011-03-01";"2011-03-08";"2011-03-13";3578;1;3578
"SO44138";18;2766;"2011-03-02";"2011-03-09";"2011-03-14";3578;1;3578
"SO44139";14;2793;"2011-03-02";"2011-03-09";"2011-03-14";3578;1;3578
"SO44140";14;1222;"2011-03-02";"2011-03-09";"2011-03-14";3578;1;3578
"SO44141";16;2573;"2011-03-02";"2011-03-09";"2011-03-14";3578;1;3578
"SO44142";16;11059;"2011-03-02";"2011-03-09";"2011-03-14";3578;1;3578
"SO44143";16;17146;"2011-03-02";"2011-03-09";"2011-03-14";3578;1;3578
"SO44144";15;6072;"2011-03-02";"2011-03-09";"2011-03-14";3578;1;3578
"SO44145";18;6310;"2011-03-02";"2011-03-09";"2011-03-14";3578;1;3578
"SO44146";16;6311;"2011-03-02";"2011-03-09";"2011-03-14";3578;1;3578
"SO44147";18;6321;"2011-03-02";"2011-03-09";"2011-03-14";3578;1;3578
"SO44148";18;17173;"2011-03-03";"2011-03-10";"2011-03-15";3578;1;3578
"SO44149";15;6243;"2011-03-03";"2011-03-10";"2011-03-15";3578;1;3578
"SO44150";15;6316;"2011-03-03";"2011-03-10";"2011-03-15";3578;1;3578
"SO44151";47;14559;"2011-03-03";"2011-03-10";"2011-03-15";699;1;699
"SO44152";7;335;"2011-03-04";"2011-03-11";"2011-03-16";3400;1;3400
"SO44153";15;17169;"2011-03-04";"2011-03-11";"2011-03-16";3578;1;3578
"SO44154";14;17182;"2011-03-04";"2011-03-11";"2011-03-16";3578;1;3578
"SO44155";16;17132;"2011-03-04";"2011-03-11";"2011-03-16";3578;1;3578
"SO44156";7;14888;"2011-03-04";"2011-03-11";"2011-03-16";3400;1;3400
"SO44157";17;6056;"2011-03-04";"2011-03-11";"2011-03-16";3578;1;3578
